"cowID","seasonyr","milkAUC","cowagen","cdate","calfsex","stage","BCS","BW"
5114,"March2020",872.7526936,5,2,"steer","wean",5,439.530648
5124,"March2020",1032.723017,5,14,"steer","wean",5,443.159384
5182,"March2020",995.0889525,5,9,"heifer","wean",6,558.825344
5195,"March2020",821.833078,5,14,"steer","wean",5,487.6114
5213,"March2020",722.1102005,5,8,"heifer","wean",4.75,491.240136
5245,"March2020",786.8294155,5,9,"heifer","wean",4.5,391.903488
5299,"March2020",931.7867584,5,9,"steer","wean",5.5,522.084392
6122,"March2020",687.9331083,4,8,"steer","wean",5,459.942288
6126,"March2020",799.4298044,4,4,"heifer","wean",5.5,546.57836
6164,"March2020",898.4546161,4,14,"steer","wean",5,469.46772
6254,"March2020",1045.954726,4,12,"heifer","wean",5,507.115856
3711,"May2020",968.7467904,6,16,"steer","wean",5,527.527496
3739,"May2020",1110.713992,6,18,"steer","wean",5.25,503.033528
3750,"May2020",492.3461521,6,19,"heifer","wean",6,601.916584
3759,"May2020",1183.197274,6,11,"heifer","wean",5,503.48712
3789,"May2020",750.8008053,6,15,"heifer","wean",5.25,525.713128
4704,"May2020",1096.881107,6,14,"steer","wean",6,591.93756
4744,"May2020",844.3002645,6,21,"heifer","wean",5.75,576.06184
4748,"May2020",826.888593,6,1,"heifer","wean",5,491.240136
4797,"May2020",971.4805599,6,12,"heifer","wean",5,489.87936
4798,"May2020",1125.239768,6,14,"heifer","wean",5,439.530648
5602,"May2020",1086.445039,5,3,"heifer","wean",5,492.600912
5612,"May2020",871.3610093,5,24,"steer","wean",4.75,437.262688
5639,"May2020",913.5689724,5,20,"steer","wean",5.5,495.322464
